Feature	Gain	Cover	Frequency
Master_mpagominimo_rank_delta1	0.00238365070216596	0.00288716694891008	0.00418137574116599
Master_mpagominimo_rank_delta2	0.00233184155414548	0.000995796876002483	0.00346163073653905
mpayroll_rank_delta2	0.00229528733490669	0.0072891398752242	0.00339308359324125
cpayroll_trx_lag1	0.00221163145716318	0.00563003483701416	0.00174795215409398
mtarjeta_master_consumo_rank	0.00215651935598897	0.00898355511197309	0.00318744216334784
mpayroll_rank_lag1	0.00211165501231565	0.00446471512994547	0.00281043287520993
Master_mpagominimo_rank_lag2	0.00210559476239991	0.00147152519065598	0.00315316859169894
mpayroll_rank_lag2	0.00192558811195569	0.00331280498279289	0.00260479144531652
ccallcenter_transacciones	0.00192059273437591	0.00607500493511227	0.00387291359632587
mtarjeta_master_consumo_rank_delta1	0.00187432547309667	0.00503494788787543	0.00308462144840114
cdescubierto_preacordado_lag2	0.00163711517034675	0.000132959143577914	0.000685471432978031
ccallcenter_transacciones_lag2	0.00162195173681801	0.000742496633627614	0.00191932001233849
ccallcenter_transacciones_lag1	0.00155053025966927	0.0021090244157719	0.00257051787366762
mpayroll_rank_delta1	0.00152580417057188	0.00866326558670083	0.00394146073962368
cdescubierto_preacordado_delta1	0.00146357968302007	0.00746565083018789	0.0022277821571786
mtarjeta_master_consumo_rank_lag1	0.00146247701962222	0.00448413958892363	0.00246769715872091
mtarjeta_master_consumo_rank_delta2	0.00140926139947854	0.00692962877311877	0.00373581930973027
ccomisiones_mantenimiento_lag2	0.00130217088956761	0.00784137721317487	0.00253624430201871
mtarjeta_master_consumo_rank_lag2	0.00118759932296411	0.00114461096088681	0.00198786715563629
cliente_edad_delta2	0.00114938011431729	0.000235714439177587	0.00157658429584947
cdescubierto_preacordado_delta2	0.00105769654169081	0.00205157951187773	0.000959660006169243
ccomisiones_mantenimiento_lag1	0.00104766597980196	0.0025229221551209	0.0021249614422319
internet_lag2	0.000921509347328515	0.000571775750469686	0.00164513143914727
cpayroll_trx_delta2	0.000900400995099856	0.000965682342961672	0.00106248072111595
internet_delta2	0.000822884176101124	0.000281696232826524	0.00167940501079618
cpayroll_trx_delta1	0.000785272350098572	0.000477215870335506	0.00109675429276485
cdescubierto_preacordado_lag1	0.000686282252359569	0.000198839689321008	0.000651197861329129
Master_fechaalta_delta2	0.000665910640809154	0.000120184027700098	0.00116530143606265
internet_delta1	0.000659387232116715	0.000191481986372093	0.00109675429276485
Master_fechaalta_delta1	0.000645243474453949	4.9295685810106e-05	0.000822565719573637
